Export;EXP-2023-01 (20230707 04:39);;;StationsCode;NL01483;NL01485;NL01486;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01908;NL10107;NL10131;NL10133;NL10136;NL10137;NL10138;NL10227;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10245;NL10246;NL10247;NL10301;NL10318;NL10404;NL10411;NL10418;NL10433;NL10437;NL10442;NL10444;NL10445;NL10446;NL10520;NL10537;NL10538;NL10547;NL10548;NL10549;NL10631;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938;NL49002;NL49003;NL49007;NL49012;NL49014;NL49017;NL49019;NL49020;NL49021;NL49022;NL49546;NL49551;NL49553;NL49561;NL49564;NL49565;NL49701;NL49703;NL49704;NL53001;NL53004;NL53015;NL53016
NO2;uur;µg/m³;20131216 02:00;20131216 03:00;13.3;10.5;10.2;9.1;7.3;14.4;24.6;14.3;12.1;15.1;24.3;;8.83;5.05;3.01;4.22;5.34;8.08;;6.47;9.72;7.22;8.25;6.98;7.64;;9.8;;11.15;9.67;18.74;;10.06;23.09;8.54;13.72;14.61;18.68;24.85;;14.64;;10.66;;10.07;7.75;;11.29;11.99;12.13;10.98;8.38;14.31;7.87;8.06;7.28;6.98;5.56;10.89;;10.73;10.79;8.14;22;16;;16;15;18;17;18;10;14;19;13;121.8;16;13;12;23;11.7;17;13.9;16.9;11.9;14.6
NO2;uur;µg/m³;20131216 03:00;20131216 04:00;14.4;9.5;9.2;10.4;8;14.3;19.9;17;10.7;14.4;21.9;;3.93;5.35;2.85;4.18;5.94;6.51;;6.3;13.05;7.85;10.16;7.41;9.14;;10.26;;11.99;8.08;17.97;;10.43;21.26;7.98;10.67;14.25;16.97;20.28;;14.56;;9.99;;9.51;6.63;;11.04;13.17;15.79;11.35;9.9;11.4;7.46;6.14;6.41;7.03;5.29;9.49;;9.56;8.72;7.52;17;13;;12;10;14;13;12;10;14;15;11;99.5;15;14;10;28;12.8;17;17.8;14.9;10.4;12.1
NO2;uur;µg/m³;20131216 04:00;20131216 05:00;14.8;8.8;11.2;10.8;7.3;21.1;22;15.5;10;14.6;25.4;;5.91;5.44;2.58;4.26;5.14;8.11;;4.71;15.29;8.19;10.72;6.5;7.2;;12.21;;10.41;5.68;18.95;;10.36;19.54;7.3;12.64;12.43;18.09;21.95;;12.94;;11.99;;10.67;6.68;;12.13;12.77;18.11;11.33;8.68;9.85;6.52;6.44;6.2;5.22;4.74;8.01;;9.24;9.06;7.49;16;11;;13;11;12;13;16;6;13;20;10;120.3;16;13;10;23;12.6;16;17.6;18.1;12.9;14.4
NO2;uur;µg/m³;20131216 05:00;20131216 06:00;35.8;11.2;16.5;18.1;9.8;33.4;33.8;27.7;19.1;24.9;21.5;;7.67;5.65;3.74;7.35;6.67;12.06;;4.63;13.54;9.67;13.8;12.55;9.68;;13.12;;9.23;6.56;21.18;;11.42;24.68;8.35;13.65;13.58;19.92;19.58;;14.92;;10.85;;11.45;7.42;;14.03;21.57;32.51;13.95;8.16;9.89;7.37;8.47;7.52;5.54;5.69;8.18;;9.15;10.6;7.4;27;11;;15;12;14;13;23;8;14;21;11;122.8;20.5;14;11;30;13.8;20;20.6;18.2;14.2;14.8
NO2;uur;µg/m³;20131216 06:00;20131216 07:00;54.6;14.1;25.3;36.1;15.6;63.9;60.4;32.5;23.1;22.1;23.4;;12.95;8.41;6.68;12.53;8.38;14.92;;7.23;21.4;12.65;29.09;18.01;21.4;;16.63;;13.49;10.61;31.38;;18.36;35.58;10.59;17.51;16.21;28.53;28.77;;25.79;;17.25;;17.76;8.58;;25.3;35.35;65.95;21.62;10.21;6.96;8.84;17.19;14.27;6.19;6.47;8.53;;9.52;14.92;8.85;39;15;;24;15;25;17;26;16;22;30;15;113.2;33.6;17;15;29;19.8;24;28.8;21.2;18.3;15.7
NO2;uur;µg/m³;20131216 07:00;20131216 08:00;64.8;14.6;28.8;43.2;19.5;62.6;58;41.7;27;25.6;25;;20.61;11.18;9.93;17.88;11.04;13.34;;8.25;27.6;19.94;47.51;34.35;26.1;;25.95;;18.18;11.59;37.11;;23.56;45.15;12.95;21.13;21.89;34.75;33.33;;41.73;;28.97;;21.56;12.75;;33.4;40.96;69.81;25.84;15.86;11.01;13.63;29.5;14.71;7.44;8.24;10.03;;10.6;25.54;13.15;62;23;;41;25;41;27;46;23;29;38;19;127.9;37.6;27.5;;;24.7;30;31.7;26.9;27.8;19.6
NO2;uur;µg/m³;20131216 08:00;20131216 09:00;49.8;20.8;30.9;41.3;21;54.1;65.1;47.5;30.8;27;29.7;;12.36;13.86;9.83;26.01;13.99;14.37;;15.55;28.32;25.93;48.3;41.86;32.1;;24.07;;17.15;13.97;40.9;;30.31;49.22;22.59;32.5;24.62;39.99;38.03;;41.7;;32.22;;29.64;13.84;;48.62;48.59;73.05;36.54;18.25;15.92;16.84;33.01;22.31;9.57;10.95;12.17;;13.23;36.12;16.63;66;27;;53;32;45;35;51;29;36;43;21;148.2;59.8;29;24;49;29.4;40;38.3;34.3;29.9;25.4
NO2;uur;µg/m³;20131216 09:00;20131216 10:00;53.8;23.6;36.2;42.6;24.6;53.7;67.5;48.7;35;30.7;35.5;;10.34;16.59;8.23;23.57;18.88;18.98;;16.05;25.83;30.12;51.25;42.94;34.42;;26.41;;19.23;15.47;42.73;;30.7;54.55;21.46;30.21;25.62;39.74;39.63;;47.38;;35.03;;33.45;19.36;;44.05;48.19;64.24;38.67;23.19;15.62;18.71;30.43;22.49;13.75;12.58;18.24;;15.69;39;17.38;68;29;;52;30;;35;65;31;42;51;22;138.5;53.2;38.1;26;51;33.4;46;;32.5;29.3;24.2
NO2;uur;µg/m³;20131216 10:00;20131216 11:00;56.9;24.8;35.1;43.4;25;54.9;67.3;55;35.8;30.1;32.9;;9.22;20.4;9.63;23.44;16.61;15.63;;16;30.41;30.71;51.12;39.97;29.04;;26.32;29.43;18.93;17.2;42.98;;32.2;50.31;20.57;32.12;25.49;42.58;41.79;;41.38;;36.42;;36.28;19.7;;45.57;49.88;55.49;37.31;24.73;13.52;18.61;31.99;21.52;16.11;14.79;20.34;;17.34;38.61;18.68;71;28;;48;32;;36;54;23;45;55;24;131.3;61.2;39.6;;49;32.5;41;34.7;33.8;31.2;26.6
NO2;uur;µg/m³;20131216 11:00;20131216 12:00;59.5;22.9;34.7;33.4;20;52.7;66.8;46.4;32.1;29;30.8;;11.06;17.15;11.22;24.19;15.1;12.54;;18.59;27.57;28.05;40.11;40.13;33.35;;24.06;24.21;18.05;14.88;38.44;;27.67;43.6;18.8;27.53;22.8;40.57;36.97;;42.41;;34.19;;32.39;18.03;;44.44;48.83;44.66;37.32;21.42;15.46;20.56;33.46;23.46;16.79;16.52;21.27;;19.47;37.22;18.61;73;28;;52;33;45;35;51;22;41;49;23;108.5;61.8;37.6;;44;27.7;34;36.1;32.2;27.2;23.1
NO2;uur;µg/m³;20131216 12:00;20131216 13:00;;22.7;31.6;35.5;19.6;51.6;68;50.8;30.2;28.1;26.8;;11.44;16.12;11.17;22.5;16.11;12.59;;21.33;25.65;24.79;40.14;39.14;29.53;;21.75;18.15;16.11;13.65;37.63;;28;58.27;19.42;25.67;24.66;35.92;39.06;;43.71;;27.36;;26.35;19.71;;42.36;45.15;48.32;34.94;20.35;22.55;19.16;34.21;27.3;17.26;13.71;22.56;;22.28;48.97;21.04;71;26;;49;32;48;34;50;21;43;54;25;76.5;58.8;;25;45;30.1;35;34.1;28.9;23.8;18.7
NO2;uur;µg/m³;20131216 13:00;20131216 14:00;;22.2;31.7;39.7;19.1;58;67.1;55.7;30.1;24.7;28.5;;12.35;14.24;11.74;30.21;15.46;17.1;;25.64;27.94;25.43;42.42;38.08;28.55;;20.32;16.77;17.44;15.82;36.69;;28.46;54.37;20.63;26.72;18.99;36.83;36.12;;45.81;;29.72;;26.05;21.12;;46.21;48.87;48.88;37.27;19.07;25.39;18.76;38.6;21.48;16.9;14.67;19.89;;23.98;53.72;23.72;76;27;;48;32;47;36;60;20;42;55;22;46.7;62.3;39.1;23;47;31.4;38;39.7;30.9;24.8;19.8
NO2;uur;µg/m³;20131216 14:00;20131216 15:00;;28.5;41.1;42.8;22.9;66.6;71;68.9;41.4;29.1;32.4;;16.81;13.77;17.56;36.01;15.46;17.12;;27.78;32.23;23.63;45;46.44;32.53;;18.96;19.14;20.83;17.75;46.08;;38.35;65.61;24.52;30.68;17.17;41.06;33.23;;33.89;;30.3;;26.51;31.79;;46.54;57.2;47;39.16;21.36;27.96;18.97;42.92;30.42;15.87;18.73;19.26;;25.12;48.83;24.19;80;30;;55;33;66;38;;24;;64;23;46.2;71.8;35.6;28;48;31.3;34;45.5;33.4;23.6;24.8
NO2;uur;µg/m³;20131216 15:00;20131216 16:00;72.5;32.5;42.7;54.4;30.3;71.3;76.3;68.5;40.9;37.9;40.4;;17.46;16.32;16.24;54.46;21.03;28.72;;16.2;35.19;30.83;53.19;53.34;37.4;;20.88;27.59;25.94;22.04;48.56;;41.18;57.13;25.26;39.23;27.39;46.21;42.06;;46.44;;31.48;;28.71;33.81;21.9;41.68;58.4;65.37;33.71;22.08;46.22;23.5;46.72;34.69;17.74;21.78;21.23;;25.1;54.61;27.69;82;34;;56;43;60;45;65;29;52;60;24;140.9;65.2;35.1;35;50;33.2;36;44;40.3;27.8;32.8
NO2;uur;µg/m³;20131216 16:00;20131216 17:00;80.5;35;46.7;62.8;33.3;74.5;79.9;65.3;48.2;42.5;44.2;;21.76;21.17;15.94;40.66;21.14;19;;33.66;34.23;34.84;66.88;60.48;46.86;;38.64;32.77;31.66;28.77;53;;40.77;59.21;29.12;48;34.29;52.54;50.89;;63.35;;36.51;;33.82;27.62;28.82;49.12;66.76;78.41;42.66;31.28;51.53;30.11;48.21;41.41;25.69;20.14;20.79;;26.48;52.68;27.36;94;40;;61;48;59;47;77;35;62;68;35;52.2;80.8;44.5;39;60;41.3;44;46.5;48.3;52.2;40.4
NO2;uur;µg/m³;20131216 17:00;20131216 18:00;76.6;40.6;48.9;54.9;33.5;73.9;72.6;65.6;49.4;45.3;46.4;;14.64;26.85;13.97;40.64;24.07;22.87;;39.77;32.39;38.38;77.59;60.67;48.21;;31.55;39.89;37.3;32.93;50.69;;59.38;60.45;30.42;56.6;27.39;57.5;49.07;;44.73;;42.15;;40.09;32.24;34.06;62.33;69.83;69.92;56.58;33.72;61.44;35.1;52.86;44.8;28.67;20.99;28.14;;25.63;57.15;31.98;95;49;;72;60;60;59;80;44;51;71;35;57.2;69.7;40.5;43;46;35.5;39;40.9;54.9;37.6;41.2
NO2;uur;µg/m³;20131216 18:00;20131216 19:00;63.8;42.3;48;54.8;34.5;64.3;74.6;68.3;50.4;43.9;45.4;;19.06;28.15;9.74;29.05;23.57;21.92;;25.83;35.86;43.67;61.66;46.92;43.86;;24.61;34.12;35.16;36.35;56.59;;48.91;59.47;33.52;46.38;25.81;62.06;48.02;;49.16;;45.14;;42.09;34.4;32.62;53.57;58.34;68.28;48.34;41.02;64.01;37.07;41.75;35.12;20.96;26.25;37.04;;26.83;45.56;27.3;73;46;;60;45;62;52;65;47;57;64;;;74.2;;42;59;43.1;51;44;41;28.9;36
NO2;uur;µg/m³;20131216 19:00;20131216 20:00;55.8;41.8;47;52.2;35.7;55.1;68.7;66.1;48.6;43.8;45.7;;14.17;22.37;8.89;22.84;19.16;18.85;;26.94;43.55;41.57;53.72;43.14;36.62;;33.43;28.86;39.49;33.87;59.55;;45.61;59;39.45;39.02;30.8;64;47.56;;43.68;;43.3;;45.07;43.12;30.52;47.79;57.74;54.18;44.97;34.94;57.78;34.37;37.08;30.02;22.33;31.83;35.89;;33.58;43.54;28.55;70;51;;57;48;65;53;68;44;54;68;32;54.2;82.8;42;45;60;41.1;45;53.2;39.4;38.3;38.2
NO2;uur;µg/m³;20131216 20:00;20131216 21:00;50.5;39.2;42.6;42.2;33.4;49.2;64.4;59.8;45.7;47.3;47.4;;12.45;23.37;10.16;20.06;17.27;20.77;;29.43;44.82;33.06;45.07;48.1;36.8;;34.29;30.04;37.59;32.83;63.13;;40.72;56.35;30.93;39.15;40.99;64.44;51.83;;50.77;;42.64;;41.96;33.39;30.07;50.34;54.58;47.82;46.77;31.99;49.69;34.09;38;32.03;25.13;33.29;35.52;;32.57;41.23;27.07;67;49;;59;56;60;57;65;39;60;69;35;80.6;76.8;47.5;49;59;43.2;48;51.6;39.1;38.8;38.6
NO2;uur;µg/m³;20131216 21:00;20131216 22:00;45.9;36.7;38.2;39;32.1;45.5;58.2;52.8;42.4;43.8;57.8;;10.38;19.02;10.72;17.39;13.8;14.25;;28.62;33.9;26.44;32.81;38.09;35.66;;34.24;26.08;35.15;35.59;59.46;;40.43;53.3;32.45;39.45;43.94;59.38;49.95;;50.81;;43.08;;39.2;34.99;27.59;49.84;53.89;48.02;46.11;34.71;37.1;33.1;34.07;29.92;26.57;32.16;34.32;;34.07;42.35;28.85;66;44;;58;54;;50;59;37;63;69;32;127.3;77.8;52.5;48;62;44.7;53;45.3;37;38.3;34.5
NO2;uur;µg/m³;20131216 22:00;20131216 23:00;45.8;36.5;37.7;40.5;33.2;42.9;56.4;52.1;41.3;41.4;39.5;;13.29;14.07;10.67;12.72;11.69;9.97;;25.33;26.11;19.53;25.38;30.21;29.62;;31.38;19.46;39.42;25.08;50.78;;38.32;48.2;27.69;34.26;41.3;53.93;50;;46.02;;39.73;;39.62;34.24;27.29;44.76;53.16;46.77;43.26;31.98;34.28;27.37;31.44;25.59;29.61;28.21;32.41;;35.74;44.08;31.76;65;42;;53;51;;48;62;32;58;65;35;114.1;67.2;50.5;44;59;42.9;51;32.8;34.1;34.1;32.6
NO2;uur;µg/m³;20131216 23:00;20131217 00:00;32;28.9;30;32.4;27;33.7;48.2;44.1;32.7;41.6;42;;13.1;12.93;7.92;11.47;9.52;13.44;;30.28;20.82;15.41;18.45;21.36;23.75;;25.21;15.39;27.91;18.66;54.12;;32.42;41.13;23.07;33.73;38.02;53.04;46.81;;40.97;;37.67;;38.71;27.48;25.24;42.76;47.63;53.12;41.75;27.1;35.35;24.12;24.51;20.46;25.5;25.66;30.03;;34.09;38.11;29.89;56;40;;;47;51;47;53;32;53;55;32;127.9;61.6;44.5;42;54;39.6;43;26.9;31.2;27.7;29.3
NO2;uur;µg/m³;20131217 00:00;20131217 01:00;26.9;21;21.7;23.2;18.4;25.9;41.6;33.1;26.1;32.3;34.2;;8.29;9.93;5.61;9.07;;7.4;;32.2;;;;18.19;18.17;;20.95;12.46;23;17.16;43.74;;22.7;36.86;17.05;24.94;;44.68;37.77;;39.54;;33.22;;31.46;25.08;21.5;32.7;34.36;40.77;30.86;20.17;29.02;19.58;14.18;13.25;17.95;22.74;29.63;;31.61;;;47;31;;41;38;38;34;44;26;48;58;35;68.9;52.6;43.5;32;55;40.1;43;29.8;25.6;21.8;22.9
NO2;uur;µg/m³;20131217 01:00;20131217 02:00;24.1;21.6;20.8;23.4;18.4;26.7;35.4;39.1;25.9;30.4;36.7;;7.05;9.62;4.07;8.77;6.63;6;;26.26;;11.62;;14.68;19.27;;24.14;11.43;19.29;18.27;38.39;;24.56;42.47;16.75;24.47;;40.56;33.37;;35.3;;25.82;;22.92;19.73;16.43;25.37;26.53;29.12;23.9;18.42;22.79;14.35;11.91;10.71;15.68;18.07;26.62;20.23;30.35;;23.76;41;28;;36;35;38;33;38;23;37;48;37;40.1;40.5;34.5;32;47;35.9;40;26.4;25.6;25.2;24.8
NO2;uur;µg/m³;20131217 02:00;20131217 03:00;31.7;28;28.1;29.2;25.2;35.8;44.5;42;39.9;30.2;52.7;;7.49;11.58;4.58;7.74;7.03;6.54;;26.51;31.76;10.55;12.21;17.83;18.32;;23.72;10.22;19.37;18.59;22.77;;38.89;49.15;15.99;20.65;24.97;28.94;41.34;;31.12;;25.96;;21.81;15.52;15.93;20.81;20.84;25.82;19.64;15.02;27.74;11.46;11.23;10.16;13.69;17.22;22.79;16.07;30.23;23.77;21.88;37;34;;34;35;41;38;38;27;30;45;31;5;34.5;30.5;32;40;28.5;36;30.7;25.4;22.8;23.9
NO2;uur;µg/m³;20131217 03:00;20131217 04:00;42.3;41.3;41.8;38.3;34.2;52.4;57.2;48.1;52.2;42.6;51;;9.46;9.64;4.69;8.27;8.5;6.78;;23.25;33.47;9.64;11.91;22.11;16.07;;21.5;8.89;22.51;16.06;17.78;;49.57;51.14;17.94;23.25;5.22;23.8;46.52;;16.35;;21.51;;22.29;14.69;17.19;23.77;25.52;26.27;22.3;16.46;34;11.68;12.12;10.9;10.92;13.61;20.07;14.86;30.23;24.02;20.73;36;29;;32;28;31;31;36;36;24;40;18;5;32.5;16;27;;19.1;29;27.3;28.4;23.1;21.7
NO2;uur;µg/m³;20131217 04:00;20131217 05:00;42.8;29.7;48.2;35.6;23.6;50;62;57.9;49.9;40.4;41;;8.06;10.5;5.27;15.56;11.19;12.15;;20.47;43.81;10.73;13.56;18.37;19.93;;13.16;11.05;21.04;16.72;50.83;;54.18;53.58;14.72;26.27;4.16;46.75;54.84;;24.03;;20.33;;20.14;15.02;20.87;29.21;27.14;36.13;24.58;23.89;29.1;14.31;11.35;10.79;11.32;12.8;2.56;15.56;19.64;24.63;20.29;44;20;;25;21;26;25;46;30;10;17;32;2;11.5;5;15;9;9.1;12;38.5;40;16.3;29.4
NO2;uur;µg/m³;20131217 05:00;20131217 06:00;63.8;29;45.1;46.2;27.7;58;58.2;60.8;46.2;37.8;42.3;;7.55;10.9;5.87;16.01;12.57;12.13;;10.27;48.68;13.46;21.02;33.79;23.92;;11.83;14.08;22.34;15.86;48.86;;44.36;51.12;20.54;25.37;3.87;53.52;61.35;;19.52;;23.84;;23.63;14.76;28.8;32.89;53.07;56.67;31.24;28.9;27.39;15.5;17.25;12.61;13.01;14.54;4.43;13.55;11.1;22.23;16.27;35;13;;25;18;24;27;32;27;17;6;8;1;22.1;6;20;9;4;4;49.2;38;13.8;34.3
NO2;uur;µg/m³;20131217 06:00;20131217 07:00;87.5;39.3;50.1;66.3;50;84.7;78.5;69.8;53.1;39.3;3.2;;11.41;19.09;8.75;21.19;16.75;14.26;;19.66;56.69;31.19;54.64;50.18;39.61;;17.35;26.62;30.46;19.42;11.69;;48.94;56.09;29.71;34.86;2.65;23.11;39.62;;44.39;;29.46;;24.3;9.5;28.9;53.02;64.34;62.17;47.68;28.75;24.65;18.29;33.19;24.58;17.3;10.26;2.28;16.1;8.14;30.59;5.27;35;12;;27;22;23;20;38;16;20;10;16;2;36.2;9;26;20;5.3;5;55.6;45.5;18.7;36.5
NO2;uur;µg/m³;20131217 07:00;20131217 08:00;45.2;52.5;38;56.7;45;74.7;32.9;41.9;43.4;37;5.2;;19.66;30.41;15.72;45.8;20.33;28.86;;38.12;47.47;45.14;70.35;77.95;52.22;;26.11;37.08;29.56;23.65;16.81;;39.69;60.08;44.38;49.5;2.58;39.16;43.02;;81.46;;20.86;;6.86;3.03;12.59;32.12;53.37;27.15;32.76;22.37;29.18;28.3;52.96;42.81;20.38;3.43;2.48;18.3;9.22;56.05;4.67;48;17;;33;41;41;35;55;18;26;13;25;3;51.8;17;32;18;17.1;13;49.1;41.7;30.2;46.1
NO2;uur;µg/m³;20131217 08:00;20131217 09:00;54.7;57.9;46.4;43.4;44.7;23.7;39.3;50.8;61.1;57.1;12.4;;29.41;26.73;20.5;62.27;23.47;44.28;;30.24;39.53;54.92;75.79;75.13;62.26;;38.8;45.21;17.76;7.59;29.58;;49.89;62.5;32.93;34.39;5.58;55.9;41.02;;93.77;;26.45;;13.58;3.4;25.11;17.48;45.38;18.15;22.55;14.96;28.31;28.85;52.62;40.11;27.88;4.69;4.47;6.01;7.66;73.56;5.63;78;21;131;54;45;60;46;71;18;29;16;30;4;99.1;29;43;27;24.1;17;40.4;42.5;40.5;55.3
NO2;uur;µg/m³;20131217 09:00;20131217 10:00;49;57.2;42.9;46.5;39;32.6;41.3;54.1;59.1;62.8;14.9;;29.76;23.35;20.96;53.5;25.58;38.03;;33.14;45.35;62.46;69.02;45.6;36.38;;21.18;44.88;22.27;16.42;34.72;;52.33;63.46;34.54;25.47;8.84;44.73;56.02;;82.33;;39.23;;10.62;4.72;27.24;22.16;39.86;15.22;41.62;13.87;32.1;7.59;64.76;49.95;7.01;6.5;8.16;7;7.91;85.45;9.2;72;25;128;67;47;74;48;72;21;31;23;45;3;71.9;25.5;45;25;19.1;16;39;26;31.6;31.1
NO2;uur;µg/m³;20131217 10:00;20131217 11:00;48.2;65.1;66.5;53.9;48.6;38.3;45.3;54.8;77.1;58.6;25.7;;29.33;28.69;15.16;48.47;24.39;31.44;;45.57;37.61;60.05;70.57;31.97;25.33;;22.31;50.05;29.18;18.41;46.78;;46.9;56.32;45.57;27.66;14.28;65.48;47.29;;85.75;;44.62;;9.84;6.67;17.13;26.18;38.14;12.39;38.04;15.55;32.91;10.98;74.94;50.78;4.78;9.81;9.26;8.74;8.24;56.63;14.89;91;27;127;61;41;75;49;61;30;35;37;33;14.5;75.3;42.1;48;33;28.2;20;41.1;29.6;41.8;36.7
NO2;uur;µg/m³;20131217 11:00;20131217 12:00;71.1;70.4;65;53;46.8;32.5;47.8;52.5;80.9;52.4;43.9;;27.88;34.85;15.15;35.12;19.04;19.07;;46.34;12.41;68.96;71.89;52.68;26.09;;35.38;50.74;29.07;25.33;49.16;;45.25;49.07;26.32;23.45;21.1;61.27;31.32;;77.83;7.92;43.04;;10.51;8.34;15.86;24.96;32.19;13.07;27.13;20.85;14.62;9.38;73.8;52.79;5.74;7.84;7.51;9.92;11.9;66.37;16.09;70;24;119;64;35;72;44;62;29;44;35;49;23.5;76.3;50.6;42;45;26.2;19;24.2;32.1;50.1;35.2
NO2;uur;µg/m³;20131217 12:00;20131217 13:00;98.2;79.3;70.1;51.8;43.6;35.3;43.1;56;80.1;36.4;58.4;;32.85;37.49;15.29;39.67;21.34;21.87;;36.94;18.78;66.85;;64.46;19.77;;31.09;47.53;31.52;39.47;55.08;;47.46;56.33;22.43;34.8;31.63;60.95;31.62;;76.95;5.16;45.09;;18.95;9.89;9.36;19.69;47.04;15.13;25.07;25.06;8.85;10.37;72.3;39.89;6.1;7.1;8.39;12.33;;75.91;13.06;84;21;116;77;24;58;43;72;24;33;37;38;30.1;73.8;50.6;35;31;44.5;37;24.8;44.1;40.6;42.9
NO2;uur;µg/m³;20131217 13:00;20131217 14:00;105.4;75.1;66.5;49.4;41.7;34.1;37.4;57;68;36.5;72.1;;35.48;39.61;24.88;41.12;22.34;19.16;;26.86;24.98;71.61;;63.11;26.86;;31.73;47.31;16.92;45.61;61.02;;39.99;55.65;23.95;40.41;55.33;62.13;38.15;;71.4;6.51;44.6;;12.65;10.86;13.1;18.09;49.42;16.33;24.24;26.9;12.13;12.44;71.59;52.49;6.39;6.2;10.8;13.85;;82.19;9.49;100;36;117;97;25;45;51;88;30;37;53;51;43.6;77.8;58.1;32;36;36.5;47;28.5;38.3;40.8;45.8
NO2;uur;µg/m³;20131217 14:00;20131217 15:00;92.9;72.7;62.6;54.3;44;41.1;45.4;;62.6;42.5;80.5;;33.82;39.79;32.8;50.74;33.67;22.84;;33.73;23.03;79.71;;55.84;33.14;;42.22;51.63;19.02;42.96;66.81;;49.92;46.97;37.06;36.76;51.31;57.77;30.23;;73.52;26.85;46.2;;13.74;9.04;15.9;37.84;66.25;17.93;29.67;30.3;13.95;11.2;64.95;35.1;7.69;6.27;8.73;14.12;11.95;67.87;30.9;102;33;111;96;37;57;61;89;31;49;44;69;42.1;97.6;57.1;34;35;39.7;63;27.6;37.4;44.6;40.7
NO2;uur;µg/m³;20131217 15:00;20131217 16:00;75.3;62.4;71.7;65.1;47;44.7;45.2;75;60.7;49.5;87.2;;49.01;42.01;39.14;75.58;47.58;35.29;;43.83;26.11;66.7;80.38;65.37;42.62;;38.49;56.55;25.23;56.58;80.9;;50.83;64.29;37.77;41.29;37.22;73;54.01;;76.1;16;60.87;;23.52;8.95;19.94;58.72;63.09;24.52;43.84;27.88;15.37;18;74.26;40.16;9.74;7.54;6.74;13.83;14.38;69.02;42.38;103;39;133;102;42;69;72;95;32;55;54;38;43.1;70.7;51.1;25;46;46.8;66;28.1;44.5;43.7;43.4
NO2;uur;µg/m³;20131217 16:00;20131217 17:00;90.3;61.7;76.8;75.5;53.9;47.8;49.3;79.5;59.7;63;82.6;;51.85;50.08;37.48;99.8;70.23;54.78;;49.51;32.19;71.17;82.3;77.18;57.39;;55.77;63.8;38.46;59.98;93.83;;55.35;59.85;42.93;41.33;33.07;87.38;51.9;;89.02;16.43;66.4;;35.39;13.4;22.07;62.47;70.23;36.92;54.52;31.95;15.76;18.94;66.53;51.18;17.49;7.63;10.7;22.83;15.93;80.82;49.79;106;52;117;98;68;81;68;90;60;54;62;73;40.5;107.1;103.5;36;66;52.5;74;33.5;58.4;55.6;57.2
NO2;uur;µg/m³;20131217 17:00;20131217 18:00;79.5;57.2;70.9;75.4;38.9;40.5;50.3;71.4;54.7;58.2;80.7;;47.25;48.17;24.28;116.21;76.19;57.99;;62.04;40.42;71.66;85.93;72.05;58.59;;66.01;64.39;34.6;50.74;98.84;;47.3;64.78;46;51.6;40.19;88.36;53.35;;95.07;14.61;64.27;;34.64;16.88;44.24;56.14;58.15;39.68;42.73;31.62;21.38;20.79;69.45;54.39;14.94;22.08;18.18;23.47;33.57;91.92;45.94;95;59;112;87;66;79;83;90;54;63;77;71;47.5;96.4;118.2;44;58;61.9;78;36.9;57.4;63.5;64.6
NO2;uur;µg/m³;20131217 18:00;20131217 19:00;82.5;63.6;67.7;59.4;47.3;48.6;46.6;65.3;59.1;56.4;82.1;;45.68;51.38;22.24;83.28;72.05;56.38;;55.81;47.94;70.89;;74.81;64.19;;64.45;62.55;43.85;45.72;56.17;;52.56;66.78;50.35;59.98;58.16;67.75;37.78;;94.73;11.1;65.7;;36.07;19.84;29.14;50.86;63.16;30.92;44.72;33.81;23.58;18.48;59.68;38.79;13.75;27.4;32.02;26.19;39.05;87.63;46.03;84;46;90;81;63;70;77;77;62;62;61;72;43.5;86.8;91.8;43;50;70.9;68;44;60.7;62.8;60.8
NO2;uur;µg/m³;20131217 19:00;20131217 20:00;86.7;68.1;69;70.9;57.3;57.9;57.5;70.8;64;64.3;75.5;;49.25;46.83;26.33;79.38;70.86;56.79;;58.42;43.7;66.11;75.31;71.64;63.98;;59.2;62.17;59.86;47.25;55.36;;59.03;66.45;56.09;58.23;52.15;70.42;43.18;;78.78;7.82;39.75;;30.62;20.96;27.72;53.1;53.37;24.14;43.25;39.73;23.16;16.21;54.1;38.54;18.77;47.14;26.03;34.08;29.96;93.51;45.95;76;37;78;69;55;61;59;70;38;56;51;59;34.5;;74.2;48;43;51.4;57;41.6;57.9;58.4;59.5
NO2;uur;µg/m³;20131217 20:00;20131217 21:00;77.4;65;71.8;76.8;66.2;61.4;66.6;80.7;66.7;66.2;78.3;;47.87;40.49;27.54;58.34;50.39;50.69;;51.48;37.19;61.04;65.88;71.87;61.85;;57.38;58.66;56.44;49.64;58.75;;65.71;70.15;60.03;61.44;38.86;71.5;51.23;;61.23;9.82;31.13;;25.84;19.82;32.33;50.09;48.97;24.26;39.38;45.39;29.49;15.16;50.19;43.35;33.24;41.89;24.94;18.64;30.4;68.49;38.91;64;29;64;57;;50;47;64;32;43;45;48;33.5;59.6;49.1;34;39;45.2;53;37.2;50.1;56.6;59.8
